I,K, step, gamma, instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound, ue_assign, ue_misplace,POA_assign,POA_misplace
20,4,20,0,6,181149,2815,181149,182436,191308,578,1443,182436,191308,5500,26708,190883,191308,0.00222649,667,191308,738,1.056080906,1.276816609
20,4,20,0,7,177617,3085,177617,178167,188023,578,1443,178167,188023,5167,25125,187207,188023,0.00435881,708,188023,738,1.058586734,1.276816609
20,4,20,0,8,195837,3048,195837,196749,206919,578,1443,196749,206919,6625,30959,205623,206919,0.0063028,833,206919,716,1.056587877,1.238754325
20,4,20,0,9,188253,2994,188253,188540,199568,578,1443,188540,199568,6292,29916,199157,199568,0.0020637,708,199568,996,1.060105284,1.723183391
20,4,20,0,10,207194,2978,207194,207532,216316,578,1443,207532,216316,6209,30250,215642,216316,0.00312555,708,216316,578,1.044026371,1
20,4,20,5,1,203204,578,206094,203204,213239,578,1443,206094,218893,7166,30667,218893,220454,0.00713134,541,211678,1443,1.041701935,2.496539792
20,4,20,5,2,212170,578,215060,212170,221124,578,1443,215060,227289,6125,29458,227289,228339,0.00461967,625,220074,1443,1.037253146,2.496539792
20,4,20,5,3,189189,587,192124,189252,200348,578,1443,192142,206814,6333,32375,206814,207563,0.00362161,625,199599,1443,1.055024341,2.496539792
20,4,20,5,4,198368,590,201318,198452,208662,578,1443,201342,215457,6625,34500,215457,215877,0.00194934,708,208242,1443,1.049776174,2.496539792
20,4,20,5,5,183151,578,186041,183151,194107,578,1443,186041,201175,5417,25958,201175,201322,0.000730707,667,193960,1443,1.059016877,2.496539792
20,4,20,5,6,170017,625,173142,170393,180857,578,1443,173283,187921,6750,28750,187921,188072,0.000803529,625,180706,1443,1.062870184,2.496539792
20,4,20,5,7,179536,599,182531,179704,189808,578,1443,182594,196438,6875,32417,196438,197023,0.00297804,708,189223,1443,1.053955753,2.496539792
20,4,20,5,8,199400,630,202550,199712,208040,578,1443,202602,214470,6500,31042,214470,215255,0.00366019,791,207255,1443,1.03939318,2.496539792
20,4,20,5,9,188978,589,191923,189044,198630,578,1443,191934,205483,6500,31791,205483,205845,0.0017617,584,198268,1443,1.049159161,2.496539792
20,4,20,5,10,190440,578,193330,190440,201565,578,1443,193330,208278,7625,28292,208278,208780,0.00241024,792,201063,1443,1.055781348,2.496539792
20,4,20,10,1,186131,578,191911,186131,196208,578,1443,191911,210068,6583,35125,210068,210638,0.00271341,1042,195638,1443,1.05107693,2.496539792
20,4,20,10,2,194046,578,199826,194046,204971,578,1443,199826,218728,6292,32000,218728,219401,0.00307688,875,204298,1443,1.052832833,2.496539792
20,4,20,10,3,226030,578,231810,226030,235297,578,1443,231810,248032,7083,31792,248032,249727,0.0068338,792,233602,1443,1.033499978,2.496539792
20,4,20,10,4,176960,578,182740,176960,185594,578,1443,182740,199645,6834,32042,199645,200024,0.00189837,875,185215,1443,1.04664896,2.496539792
20,4,20,10,5,198638,578,204418,198638,209180,578,1443,204418,223241,6500,32291,223241,223610,0.00165292,625,208811,1443,1.051213766,2.496539792
20,4,20,10,6,189342,578,195122,189342,199256,578,1443,195122,212853,6667,34375,212853,213686,0.0039135,916,198423,1443,1.047960833,2.496539792
20,4,20,10,7,190896,578,196676,190896,200462,578,1443,196676,214566,5250,27000,214566,214892,0.00151935,542,200136,1443,1.048403319,2.496539792
20,4,20,10,8,189129,578,194909,189129,199385,578,1443,194909,213258,6625,32125,213258,213815,0.00261186,625,198828,1443,1.051282458,2.496539792
20,4,20,10,9,172329,578,178109,172329,180171,578,1443,178109,194281,6625,31583,194281,194601,0.0016471,666,179851,1443,1.043649067,2.496539792
20,4,20,10,10,201707,578,207487,201707,212193,578,1443,207487,226183,7625,40959,226183,226623,0.00194533,2166,211753,1443,1.049804915,2.496539792
20,4,20,15,1,182010,578,190680,182010,191912,578,1443,190680,213140,5334,29375,213140,213557,0.00195646,666,191495,1443,1.052112521,2.496539792
20,4,20,15,2,192578,578,201248,192578,201925,578,1443,201248,222669,6417,31667,222669,223570,0.00404636,791,201024,1443,1.043857554,2.496539792
20,4,20,15,3,200586,578,209256,200586,211024,578,1443,209256,231949,6542,32000,231949,232669,0.00310413,750,210304,1443,1.048448047,2.496539792
20,4,20,15,4,201999,578,210669,201999,212023,578,1443,210669,233516,6333,31542,233516,233668,0.000650919,708,211871,1443,1.048871529,2.496539792
20,4,20,15,5,195155,578,203825,195155,205046,578,1443,203825,225947,6500,34708,225947,226691,0.00329281,875,204302,1443,1.046870436,2.496539792
20,4,20,15,6,187733,578,196403,187733,197243,578,1443,196403,218375,6542,30375,218375,218888,0.00234917,1000,196730,1443,1.047924446,2.496539792
20,4,20,15,7,198964,578,207634,198964,207332,578,1443,207634,228197,6417,32542,228197,228977,0.0034181,583,206552,1443,1.038137553,2.496539792
20,4,20,15,8,211928,578,220598,211928,221677,578,1443,220598,241655,6750,31417,241655,243322,0.00689826,625,220010,1443,1.038135593,2.496539792
20,4,20,15,9,168829,578,177499,168829,179048,578,1443,177499,200491,6542,31417,200491,200693,0.00100753,667,178846,1443,1.059332224,2.496539792
20,4,20,15,10,202114,578,210784,202114,212746,578,1443,210784,233855,6542,31042,233855,234391,0.00229202,750,212210,1443,1.049952007,2.496539792
20,4,20,20,1,204806,578,216366,204806,214876,578,1443,216366,243280,6416,32709,243280,243736,0.00187438,708,214420,1443,1.046941984,2.496539792
20,4,20,20,2,186798,578,198358,186798,195976,578,1443,198358,224108,6583,33458,224108,224836,0.00324843,792,195248,1443,1.04523603,2.496539792
20,4,20,20,3,205878,578,217438,205878,215275,578,1443,217438,243079,6125,32166,243079,244135,0.00434427,666,214219,1443,1.040514285,2.496539792
20,4,20,20,4,195285,578,206845,195285,206658,578,1443,206845,235369,5125,25625,235369,235518,0.000633049,667,206509,1443,1.057474972,2.496539792
20,4,20,20,5,194276,578,205836,194276,205533,578,1443,205836,233997,6625,30792,233997,234393,0.00169233,709,205137,1443,1.055905001,2.496539792
20,4,20,20,6,192074,578,203634,192074,202933,578,1443,203634,231110,6250,30625,231110,231793,0.0029553,833,202250,1443,1.052979581,2.496539792
20,4,20,20,7,199347,578,210907,199347,208645,578,1443,210907,236906,6166,32000,236906,237505,0.00252843,625,208046,1443,1.043637476,2.496539792
20,4,20,20,8,187302,578,198862,187302,197184,578,1443,198862,225605,5042,27542,225605,226044,0.00194588,750,196745,1443,1.050415906,2.496539792
20,4,20,20,9,198137,578,209697,198137,207359,578,1443,209697,235353,6666,31250,235353,236219,0.00367958,750,206493,1443,1.04217284,2.496539792
20,4,20,20,10,191868,578,203428,191868,202331,578,1443,203428,230197,6417,31834,230197,231191,0.00431804,792,201337,1443,1.049351638,2.496539792
20,4,20,25,1,187259,578,201709,187259,197800,578,1443,201709,233604,6167,30750,233604,233875,0.00116008,708,197529,1443,1.054843826,2.496539792
